"Sample","year","month","week","colour","cond","domgl","dopercent","oldo","odour","ph","temp","turb","tdscalc","langelier","palk","talk","bicarb","carb","ca","mg","thard","na","k","sulfate","cl","dissal","ammn","bod","br","chla","fl","dissfe","dissmn","no3","orgn","rawtoc","rawdoc","uv254doc","orthop","tp","si","sulphide","blgrnalg","grnalg","diatoms","flag","crust","nema","roti","otherfauna","totgrnbg","totcoli","fcoli","totcoliback","pltct","part","ecoli","sst","ssv","ssf","partal","total","totfe","totmn","orgc","suva","fecstrep","tds","prefm","damflow","dbar","salcalc","bicarbC","carbC","ionstrength","pk1","pk2","k1","k2","hplus","ao","a1","a2","totaldicnull","totaldic","dicumol","Site","pCO2","CO2flux","CO2fluxWk","iceoffdoy","iceondoy","iceoffweek","iceonweek","season","Seasonname","Spring determine"
379,1982,10,39,20,400,8.9,85,"NA",10,8.2,13.1,3.22,324,0.21,"NA",123,150,"NA",28,14,129,36,0.4,79,10.5,0,0.14,"NA","NA","NA",0.16,0.01,"NA","NA",0.88,"NA","NA","NA",62,132,5.8,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA",2,"NA","NA",3000,"NA","NA",5,"NA","NA",0,0,0.29,"NA","NA","NA","NA","NA","NA","NA",10.5,0.251438543,29.52637634,"NA",0.007,6.387240939,10.30618782,0.00000041,0.0000000000494,0.00000000631,0.015040819,0.977305986,0.007653194,"NA","NA","NA","MLO",960.6213096,24.178735,169.251145,119,316,17,46,4,"fall",0
380,1982,10,40,20,390,9.8,84,"NA",10,8.15,8.6,3.69,332,0.13,"NA",129,157,"NA",29,16,138,42,0.4,71,11,"NA",0.34,"NA","NA",13,0.15,0.01,"NA","NA",0.54,"NA","NA","NA",25,110,5.8,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA",109,"NA","NA",44000,"NA","NA",10,"NA","NA",0,0,0.37,0.09,"NA","NA","NA","NA","NA","NA",10.5,0.275280083,30.9042739,"NA",0.006825,6.440589003,10.36073817,0.000000363,0.0000000000436,0.00000000708,0.019036055,0.974962584,0.006001361,"NA","NA","NA","MLO",1014.076358,29.68449752,207.7914826,119,316,17,46,4,"fall",0
381,1982,10,41,20,400,10.8,91,"NA",8,8.3,8,2.33,337,0.29,1,132,159,"NA",30,16,142,39,3.7,70,13,0,0.35,"NA","NA",12,0.17,0.02,"NA","NA",0.63,"NA","NA","NA","NA",83,5.6,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.2,"NA","NA",0,0,0.15,0.08,"NA","NA","NA","NA","NA","NA",10.5,0.287238513,31.29795892,"NA",0.007,6.447257229,10.36637292,0.000000357,0.000000000043,0.00000000501,0.013725977,0.977881101,0.008392921,"NA","NA","NA","MLO",720.2373419,16.42069415,114.944859,119,316,17,46,4,"fall",0
382,1982,10,42,15,475,10.2,87,"NA","NA",8.05,8.4,2.98,353,0.05,"NA",130,159,"NA",31,16,144,44,5.8,78,13,0,0.09,"NA","NA","NA",0.17,0.01,"NA","NA",0.54,"NA","NA","NA",21,84,6,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA",84,"NA","NA",2600,"NA","NA",3.6,"NA","NA",0,0,0.14,0.11,"NA","NA","NA","NA","NA","NA",10.5,0.339446602,31.29795892,"NA",0.0083125,6.439549807,10.34956499,0.000000363,0.0000000000447,0.00000000891,0.023818104,0.971308941,0.004872955,"NA","NA","NA","MLO",1325.864946,44.30789952,310.1552966,119,316,17,46,4,"fall",0
383,1982,10,43,15,425,10.8,89,"NA","NA",8.15,6.7,2.53,"NA","NA","NA",137,162,"NA",31,16,145,45,"NA",78,14.5,0,0.1,"NA","NA","NA",0.19,0.03,"NA","NA",0.6,"NA","NA","NA",12,102,4.8,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.2,"NA","NA",0,0,0.15,0.07,"NA","NA","NA","NA","NA","NA",10.5,0.317112527,31.88848645,"NA",0.0074375,6.461618699,10.37834973,0.000000345,0.0000000000418,0.00000000708,0.019966418,0.974274785,0.005758796,"NA","NA","NA","MLO",1012.514971,31.435226,220.046582,119,316,17,46,4,"fall",0
384,1982,11,44,30,475,10.7,84,"NA",6,8.15,4.9,10,"NA","NA","NA",143,174,"NA",34,16,151,49,"NA",75,13,"NA",0.21,"NA","NA",21,0.18,"NA","NA","NA",0.69,"NA","NA","NA",12,94,4.6,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA",2,4,"NA",9000,"NA","NA",19.8,"NA","NA",1,1,0.05,0.08,"NA","NA","NA","NA","NA","NA",10.5,0.374849763,34.25059656,"NA",0.0083125,6.481037757,10.39332549,0.00000033,0.0000000000404,0.00000000708,0.020864481,0.973575909,0.00555961,"NA","NA","NA","MLO",1021.157544,33.81712474,236.7198732,119,316,17,46,4,"fall",0
385,1982,11,45,25,410,12.3,89,"NA","NA",8.25,2.1,6.22,"NA","NA","NA",145,177,"NA",34,16,150,44,"NA",75,14.3,0,0.26,"NA","NA","NA",0.15,0.01,"NA","NA",0.48,"NA","NA","NA",34,76,3.9,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",12.4,"NA","NA",1,1,0.4,"NA","NA","NA","NA","NA","NA","NA",10.5,0.349910695,34.84112408,"NA",0.007175,6.516985862,10.44017631,0.000000304,0.0000000000363,0.00000000562,0.018042008,0.975661151,0.006296841,"NA","NA","NA","MLO",768.7621784,22.72801041,159.0960729,119,316,17,46,4,"fall",0
386,1982,11,46,17,550,11.2,81,"NA",10,8.1,1.9,3.65,"NA","NA","NA",143,174,"NA",36,17,161,48,"NA",88,14,"NA",0.09,"NA","NA",20,0.16,0.01,"NA","NA",0.59,7.3,"NA","NA",18,64,3.9,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA",54,"NA","NA",2300,"NA","NA",7,"NA","NA",1,1,0.17,0.06,"NA","NA","NA","NA","NA","NA",10.5,0.478202328,34.25059656,"NA",0.009625,6.514110026,10.42177617,0.000000306,0.0000000000379,0.00000000794,0.02517511,0.970200173,0.004624717,"NA","NA","NA","MLO",1156.832196,45.39675355,317.7772748,119,316,17,46,4,"fall",0
387,1982,11,47,12,540,11.3,84,"NA",10,8.2,3,2.55,"NA","NA","NA",162,197,"NA",39,17,167,44,"NA",85,15.5,0,0.07,"NA","NA","NA",0.17,"NA","NA","NA",0.58,7,"NA","NA",4,62,4,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",1400,"NA","NA",4.25,"NA","NA",1,1,0.07,0.04,"NA","NA","NA","NA","NA","NA",10.5,0.453465815,38.77797426,"NA",0.00945,6.501316018,10.40857807,0.000000315,0.000000000039,0.00000000631,0.01950223,0.974469534,0.006028235,"NA","NA","NA","MLO",926.882852,30.84721398,215.9304979,119,316,17,46,1,"winter",0
388,1982,12,48,15,590,12.3,92,"NA",10,8.05,3.4,1.86,"NA","NA","NA",165,201,"NA",40,17,171,47,"NA",85,15,0,0.06,"NA","NA","NA",0.19,"NA","NA","NA",0.52,8.8,"NA","NA","NA",61,3.9,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",900,"NA","NA",3.8,"NA","NA",0,0,0.03,0.03,"NA","NA","NA","NA","NA","NA",10.5,0.491291331,39.5653443,"NA",0.010325,6.494848543,10.39654593,0.00000032,0.0000000000401,0.00000000891,0.02697863,0.968659975,0.004361395,"NA","NA","NA","MLO",1336.144404,52.91274958,370.3892471,119,316,17,46,1,"winter",0
389,1982,12,49,15,560,12.3,94,"NA",11,8.2,3.9,1.96,412,0.31,"NA",165,201,"NA",39,18,171,50,4.5,80,16,0,0.06,"NA","NA","NA",0.27,"NA","NA","NA",0.64,10.8,"NA","NA",4,59,3.5,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",1500,"NA","NA",4.4,"NA","NA",0,0,0.02,0.1,"NA","NA","NA","NA","NA","NA",10.5,0.458312502,39.5653443,"NA",0.0098,6.489894816,10.39404892,0.000000324,0.0000000000404,0.00000000631,0.019001762,0.974763042,0.006235196,"NA","NA","NA","MLO",943.2112966,30.78543072,215.498015,119,316,17,46,1,"winter",0
390,1982,12,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","MLO",,,,119,316,17,46,1,"winter",0
391,1982,12,51,15,575,9,69,"NA","NA",7.8,4.3,1.56,432,-0.06,"NA",163,199,"NA",42,18,180,63,4.9,85,16,"NA",0.04,"NA","NA","NA",0.16,"NA","NA","NA",0.59,"NA","NA","NA",9,90,4.3,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",2700,"NA","NA",2.6,"NA","NA",1,1,0.05,0.18,"NA","NA","NA","NA","NA","NA",10.5,0.465502992,39.17165928,"NA",0.0100625,6.484623745,10.38683552,0.000000328,0.000000000041,0.0000000158,0.046029441,0.951506924,0.002463635,"NA","NA","NA","MLO",2328.409574,104.0617393,728.4321754,119,316,17,46,1,"winter",0
392,1982,12,52,15,625,8.7,67,"NA",9,7.9,4.4,1.74,424,0.09,"NA",177,216,"NA",43,18,181,46,5.3,73,19,0,0.38,"NA","NA","NA",0.17,0.02,"NA","NA",0.57,"NA","NA","NA",6,66,4,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",1100,"NA","NA",3.2,"NA","NA",0,0,0.11,0.27,"NA","NA","NA","NA","NA","NA",10.5,0.506247991,42.51798193,"NA",0.0109375,6.481800133,10.37901109,0.00000033,0.0000000000418,0.0000000126,0.036655795,0.960157576,0.003186628,"NA","NA","NA","MLO",1915.429398,81.81990159,572.7393112,119,316,17,46,1,"winter",0
393,1983,1,1,15,540,7,54,"NA","NA",7.75,4.4,1.56,458,-0.06,"NA",188,229,"NA",41,20,185,48,7.9,90,17.5,50,0.42,"NA","NA","NA",0.14,"NA","NA","NA",0.55,"NA","NA","NA",71,154,4.5,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.8,92,279,0.24,0.29,0.05,0.43,"NA","NA","NA","NA","NA","NA",10.5,0.434734645,45.07693455,"NA",0.00945,6.484629978,10.39033047,0.000000328,0.0000000000407,0.0000000178,0.051372721,0.946460712,0.002166567,"NA","NA","NA","MLO",2555.251621,115.7158151,810.0107056,112,327,16,47,1,"winter",0
394,1983,1,2,20,650,6.1,47,"NA","NA",7.75,4,1.5,"NA","NA","NA",191,233,"NA",42,20,189,"NA",5.5,90,18,90,"NA","NA","NA","NA",0.2,0.02,"NA","NA","NA","NA","NA","NA","NA","NA",5.9,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.7,104,263,0.13,0.22,0.14,0.58,"NA","NA","NA","NA","NA","NA",10.5,0.533732632,45.86430458,"NA",0.011375,6.485777217,10.38104487,0.000000327,0.0000000000416,0.0000000178,0.051499198,0.946287817,0.002212985,"NA","NA","NA","MLO",2684.047664,124.2769189,869.9384324,112,327,16,47,1,"winter",0
395,1983,1,3,15,690,6.6,50,"NA",5,7.8,3.9,1.36,"NA","NA","NA",192,234,"NA",42,20,188,46,"NA",93,18,40,0.36,"NA","NA","NA",0.14,0.03,"NA","NA",0.47,"NA","NA","NA",194,252,5.8,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",32,"NA","NA",2,76,291,0.18,0.22,0.14,0.62,"NA","NA","NA","NA","NA","NA",10.5,0.56975405,46.06114709,"NA",0.012075,6.485749691,10.37746843,0.000000327,0.0000000000419,0.0000000158,0.046140939,0.951342147,0.002516914,"NA","NA","NA","MLO",2449.471972,112.0659937,784.4619556,112,327,16,47,1,"winter",0
396,1983,1,4,20,625,5.7,44,"NA","NA",7.8,4,1.13,"NA","NA","NA",188,229,"NA",41,22,191,48,"NA",95,19,30,0.66,"NA","NA","NA",0.14,0.02,"NA","NA",0.51,"NA","NA","NA",166,238,5.9,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA",54,"NA","NA",5,"NA","NA",1.6,81,277,0.14,0.17,0.13,0.63,"NA","NA","NA","NA","NA","NA",10.5,0.512344347,45.07693455,"NA",0.0109375,6.486563173,10.38418869,0.000000326,0.0000000000413,0.0000000158,0.046225235,0.951296617,0.002478148,"NA","NA","NA","MLO",2378.249044,107.8409719,754.8868036,112,327,16,47,1,"winter",0
397,1983,2,5,15,625,5.9,45,"NA","NA",7.7,4,1.02,"NA","NA","NA",185,225,"NA",42,21,194,44,"NA",93,19.5,"NA",0.53,"NA","NA","NA",0.17,0.03,"NA","NA",0.6,"NA","NA","NA",124,218,5.4,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.4,86,290,0.3,0.3,0.14,0.46,"NA","NA","NA","NA","NA","NA",10.5,0.512344347,44.28956451,"NA",0.0109375,6.486563173,10.38418869,0.000000326,0.0000000000413,0.00000002,0.05753482,0.940519019,0.001946162,"NA","NA","NA","MLO",2956.192086,138.8993222,972.2952557,112,327,16,47,1,"winter",0
398,1983,2,6,15,675,5.7,44,"NA","NA",7.8,4,1.01,"NA","NA","NA",189,231,"NA",45,20,196,53,"NA",100,20.5,50,0.14,"NA","NA","NA",0.19,0.01,"NA","NA",0.57,"NA","NA","NA",125,224,6.5,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA",54,"NA","NA",2,"NA","NA",1.6,83,297,0.42,0.47,0.32,0.57,"NA","NA","NA","NA","NA","NA",10.5,0.555162745,45.47061957,"NA",0.0118125,6.485010078,10.37797631,0.000000327,0.0000000000419,0.0000000158,0.046066179,0.951419644,0.002514177,"NA","NA","NA","MLO",2434.844077,110.8866331,776.2064317,112,327,16,47,1,"winter",0
399,1983,2,7,15,650,5.8,45,"NA","NA",7.6,4.4,0.86,502,-0.14,"NA",211,258,"NA",44,20,194,55,5.1,95,19,120,0.2,"NA","NA","NA",0.17,"NA","NA","NA",0.72,"NA","NA","NA",146,219,5.5,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",1,"NA","NA",0.8,285,107,0.05,0.17,0.14,0.34,"NA","NA","NA","NA","NA","NA",10.5,0.527377305,50.78536731,"NA",0.011375,6.481014177,10.37586727,0.00000033,0.0000000000421,0.0000000251,0.07055244,0.927892918,0.001554643,"NA","NA","NA","MLO",3721.913344,177.5352891,1242.747024,112,327,16,47,1,"winter",0
400,1983,2,8,10,600,4.7,36,"NA","NA",7.5,4.4,0.82,514,-0.19,"NA",216,264,"NA",48,18,188,60,5,95,19,80,0.44,"NA","NA","NA",0.18,0.02,"NA","NA",0.68,7.5,"NA","NA",127,214,5.4,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA",2,"NA","NA","NA","NA","NA",0.6,84,311,0.2,0.28,0.1,0.46,"NA","NA","NA","NA","NA","NA",10.5,0.48516126,51.96642236,"NA",0.0105,6.482606081,10.38223488,0.000000329,0.0000000000415,0.0000000316,0.087548125,0.911256771,0.001195105,"NA","NA","NA","MLO",4486.498004,218.0342108,1526.239476,112,327,16,47,1,"winter",0
401,1983,3,9,15,590,4.9,38,"NA",5,7.68,4.6,1.23,481,-0.07,"NA",201,245,"NA",44,21,196,56,5.1,90,14.5,50,0.13,"NA","NA","NA",0.18,0.02,"NA","NA",0.74,"NA","NA","NA",95,160,5.8,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",39,"NA","NA",1,98,298,0.28,0.33,0.09,0.4,"NA","NA","NA","NA","NA","NA",10.5,0.473913637,48.22641469,"NA",0.010325,6.480554143,10.38096993,0.000000331,0.0000000000416,0.0000000209,0.059311157,0.93881983,0.001869013,"NA","NA","NA","MLO",3053.68462,141.1389758,987.9728305,112,327,16,47,1,"winter",0
402,1983,3,10,10,640,5,39,"NA",8,7.62,4.5,1.15,493,-0.14,"NA",198,242,"NA",44,21,197,60,4.8,98,18,30,0.15,"NA","NA","NA",0.17,0.02,"NA","NA",0.69,6.4,"NA","NA",165,218,5.5,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",4,"NA","NA",2,92,301,0.14,0.17,0.15,0.3,"NA","NA","NA","NA","NA","NA",10.5,0.517376775,47.63588717,"NA",0.0112,6.480136028,10.37582561,0.000000331,0.0000000000421,0.000000024,0.067459395,0.930907249,0.001633356,"NA","NA","NA","MLO",3553.595177,168.0281811,1176.197267,112,327,16,47,1,"winter",0
403,1983,3,11,20,640,5.6,43,"NA","NA",7.67,4.6,1.23,483,-0.08,"NA",199,243,"NA",44,21,195,52,5.5,93,19,160,0.12,"NA","NA","NA",0.15,0.01,"NA","NA",0.65,6.3,"NA","NA",150,228,5.9,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",6,"NA","NA",1.4,74,316,-0.06,0.1,0.13,0.54,"NA","NA","NA","NA","NA","NA",10.5,0.515840564,47.83272967,"NA",0.0112,6.478946038,10.37453751,0.000000332,0.0000000000422,0.0000000214,0.060399403,0.937748989,0.001851608,"NA","NA","NA","MLO",3195.697608,148.6147354,1040.303148,112,327,16,47,1,"winter",0
404,1983,3,12,15,575,7,54,"NA","NA",7.68,4.5,1.17,491,-0.07,"NA",199,243,"NA",45,22,203,56,5.5,95,19,60,0.11,"NA","NA","NA",0.17,0.01,"NA","NA",0.73,8.2,"NA","NA",176,248,5.7,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",33,"NA","NA",1.8,118,278,0.2,0.26,0.17,0.32,"NA","NA","NA","NA","NA","NA",10.5,0.462740574,47.83272967,"NA",0.0100625,6.482243105,10.38425392,0.000000329,0.0000000000413,0.0000000209,0.059529346,0.938616123,0.001854531,"NA","NA","NA","MLO",3028.398943,140.2960546,982.0723823,112,327,16,47,1,"winter",0
405,1983,4,13,15,660,5.5,43,"NA","NA",7.55,4.6,1.28,513,-0.16,"NA",206,251,"NA",48,20,203,68,5.4,96,19,90,0.11,"NA","NA","NA",0.16,0.01,"NA","NA",0.69,7.3,"NA","NA",126,278,5.8,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",6,"NA","NA",1,133,267,0.03,0.12,0.19,0.3,"NA","NA","NA","NA","NA","NA",10.5,0.532658524,49.40746975,"NA",0.01155,6.478324925,10.37205306,0.000000332,0.0000000000425,0.0000000282,0.078050936,0.920562308,0.001386756,"NA","NA","NA","MLO",4165.933428,199.6542778,1397.579945,112,327,16,47,1,"winter",0
406,1983,4,14,25,710,9.3,73,"NA",9,7.65,5.2,2.63,503,-0.03,"NA",210,256,"NA",49,20,205,64,6,83,19.5,50,"NA","NA","NA","NA",0.17,0.12,"NA","NA",0.9,9.5,"NA","NA",150,274,5.9,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",6,"NA","NA",6.8,51,354,0.11,0.16,0.31,0.2,"NA","NA","NA","NA","NA","NA",10.5,0.564700903,50.39168229,"NA",0.012425,6.469687132,10.35835237,0.000000339,0.0000000000438,0.0000000224,0.061819347,0.936347981,0.001832673,"NA","NA","NA","MLO",3468.318952,159.5974747,1117.182323,112,327,16,47,1,"winter",0
407,1983,4,15,25,700,7.9,63,"NA","NA",7.68,5.7,2.54,499,0.02,"NA",207,253,"NA",51,20,211,59,5.1,87,18,50,"NA","NA","NA","NA",0.17,0.04,"NA","NA",1.04,13,"NA","NA",128,336,6.3,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",11,213,221,0.01,0.06,0.25,0.4,"NA","NA","NA","NA","NA","NA",10.5,0.548322587,49.80115476,"NA",0.01225,6.464042084,10.35317288,0.000000344,0.0000000000443,0.0000000209,0.057217991,0.940785287,0.001996722,"NA","NA","NA","MLO",3253.794533,146.0073904,1022.051733,112,327,16,47,1,"winter",0
408,1983,4,16,40,640,11.2,91,"NA",20,7.84,6.4,2.85,506,0.2,"NA",213,260,"NA",51,21,211,61,5.1,83,19,80,0.12,"NA","NA",107,0.18,0.01,"NA","NA",0.89,10.5,"NA","NA",71,288,6.2,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA",54,"NA","NA",10,"NA","NA",18.2,83,369,0.13,0.21,0.16,0.86,"NA","NA","NA","NA","NA","NA",10.5,0.489427831,51.17905233,"NA",0.0112,6.457563838,10.35165951,0.000000349,0.0000000000445,0.0000000145,0.039686425,0.957366314,0.002947261,"NA","NA","NA","MLO",2247.513771,92.83570315,649.8499221,112,327,16,47,2,"Spring","Spring"
409,1983,4,17,25,640,12,99,"NA",14,8.55,6.9,2.4,408,0.73,3,170,200,4,39,18,172,52,4.4,70,16,40,0.05,"NA","NA","NA",0.17,0.01,"NA","NA",0.67,8.4,"NA","NA",28,206,4.4,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8,105,241,0.17,0.21,0.24,0.17,"NA","NA","NA","NA","NA","NA",10.5,0.48248693,39.36850179,0.800594578,0.0112,6.451636988,10.34540801,0.000000353,0.0000000000451,0.00000000282,0.007786477,0.97657139,0.015642133,40.16909637,40.48432663,3373.693886,"MLO",452.7067532,3.867981999,27.075874,112,327,16,47,2,"Spring","Spring"
410,1983,5,18,30,550,10.7,90,"NA",15,8.33,7.9,4.86,416,0.54,"NA",172,210,"NA",40,19,179,50,4.6,73,15.5,130,0.06,"NA","NA",11,0.2,0.02,"NA","NA",0.63,7,"NA","NA",15,156,4.1,"NA","NA","NA","NA",330,"NA","NA","NA","NA","NA",109,"NA","NA",9,"NA","NA",11,101,247,0.07,0.2,0.11,0.05,"NA","NA","NA","NA","NA","NA",10.5,0.400708692,41.33692688,"NA",0.009625,6.442756826,10.34486817,0.000000361,0.0000000000452,0.00000000468,0.012677662,0.977872722,0.009449616,"NA","NA","NA","MLO",725.5606611,16.73987171,117.179102,112,327,16,47,2,"Spring","Spring"
411,1983,5,19,15,600,9.7,88,"NA",10,8.49,11.9,2.09,399,0.8,2,180,215,2,41,19,181,48,4,50,15.8,70,"NA",2.9,"NA",7,0.19,"NA","NA","NA",0.49,5,3.2,"NA",14,84,4.1,95,"NA","NA","NA",330,"NA","NA","NA","NA","NA",54,"NA","NA",116,"NA","NA",6.2,76,259,0.16,0.23,0.16,0.03,"NA","NA","NA","NA","NA","NA",10.5,0.393966573,42.32113942,0.400297289,0.0105,6.393950831,10.29048738,0.000000404,0.0000000000512,0.00000000324,0.007829171,0.976708407,0.015462423,42.72143671,43.05854944,3588.212454,"MLO",538.7714209,7.18224425,50.27570975,112,327,16,47,3,"summer",0
412,1983,5,20,17,600,9.7,82,"NA",14,8.28,7.7,2.88,425,0.51,"NA",177,216,"NA",41,18,179,48,6.6,78,13.5,80,0.07,2.1,"NA",8,0.13,"NA","NA","NA",0.53,8.2,6.2,"NA",7,74,4.2,80,"NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",38,"NA","NA",3.6,97,204,0.01,0.09,0.24,"NA","NA","NA","NA","NA","NA","NA",10.5,0.441087164,42.51798193,"NA",0.0105,6.443445311,10.34061858,0.00000036,0.0000000000456,0.00000000525,0.014238244,0.977262272,0.008499484,"NA","NA","NA","MLO",831.5871361,21.88963738,153.2274616,112,327,16,47,3,"summer",0
413,1983,5,21,20,575,9.1,86,"NA",8,8.37,12.7,1.81,416,0.66,"NA",173,211,"NA",40,18,174,46,8.3,75,13.8,110,"NA",1.5,"NA",5,0.14,"NA","NA","NA",0.48,6.9,5.6,"NA",7,90,3.6,90,"NA","NA","NA",330,"NA","NA","NA","NA","NA",54,"NA","NA",27,"NA","NA",4.4,39,302,0.03,0.14,0.14,"NA","NA","NA","NA","NA","NA","NA",10.5,0.369311728,41.53376939,"NA",0.0100625,6.385394545,10.28460752,0.000000412,0.0000000000519,0.00000000427,0.010132507,0.977962891,0.011904601,"NA","NA","NA","MLO",708.4597185,14.15895176,99.11266232,112,327,16,47,3,"summer",0
414,1983,6,22,15,580,8.6,87,"NA",10,8.35,15.7,1.64,425,0.7,1,176,212,1,41,18,178,47,6.6,80,15.8,100,"NA",1.4,"NA",4,0.16,"NA","NA","NA",0.47,7.8,"NA","NA",22,84,3.4,110,"NA","NA","NA",330,"NA","NA","NA","NA","NA",2,"NA","NA",30,"NA","NA",3.4,112,237,0.08,0.18,0.14,"NA","NA","NA","NA","NA","NA","NA",10.5,0.345919643,41.7306119,0.200148645,0.01015,6.350164528,10.25050665,0.000000447,0.0000000000562,0.00000000447,0.009782907,0.977920162,0.012296931,41.93076054,42.34501792,3528.751493,"MLO",773.6447818,16.1375981,112.9631867,112,327,16,47,3,"summer",0
415,1983,6,23,25,560,8.9,89,"NA",10,8.35,15.3,1.82,431,0.69,1,176,212,1,41,19,181,49,6.1,85,15,100,0.06,2,"NA",2,0.17,0.01,"NA","NA",0.57,"NA","NA","NA","NA",96,2.8,80,"NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",30,"NA","NA",3.6,97,253,0.02,0.12,0.19,0.03,"NA","NA","NA","NA","NA","NA",10.5,0.336858866,41.7306119,0.200148645,0.0098,6.355502496,10.25756812,0.000000441,0.0000000000553,0.00000000447,0.009904658,0.977995802,0.01209954,41.93076054,42.35022504,3529.18542,"MLO",761.9136027,15.73094925,110.1166448,112,327,16,47,3,"summer",0
416,1983,6,24,20,550,8.6,90,"NA",10,8.27,17.4,2.29,410,0.63,1,171,206,1,41,17,173,46,6,75,15.3,80,0.08,1.9,"NA",8,0.17,0.01,"NA","NA",0.53,7.5,6,"NA",6,188,2.6,110,"NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",40,"NA","NA",5.2,128,231,0.04,0.12,0.28,"NA","NA","NA","NA","NA","NA","NA",10.5,0.314523817,40.54955684,0.200148645,0.009625,6.331400676,10.23634967,0.000000466,0.000000000058,0.00000000537,0.011267096,0.978163228,0.010569676,40.74970549,41.21406837,3434.505697,"MLO",938.1645507,22.03264568,154.2285198,112,327,16,47,3,"summer",0
417,1983,6,25,25,540,8.3,87,"NA",16,8.42,17.7,2.34,432,0.82,1,180,217,1,42,19,185,47,8.3,80,15.5,110,0.07,2.8,"NA",7,0.17,0.02,"NA","NA",0.61,7.8,6.5,"NA",14,86,2.3,90,"NA","NA","NA",330,"NA","NA","NA","NA","NA","NA","NA","NA",21,"NA","NA",4.8,27,274,0.04,0.15,0.22,"NA","NA","NA","NA","NA","NA","NA",10.5,0.306489998,42.71482444,0.200148645,0.00945,6.328263208,10.23457417,0.00000047,0.0000000000583,0.0000000038,0.007910584,0.977114266,0.01497515,42.91497309,43.25716252,3604.763543,"MLO",664.3735808,11.88021194,83.16148355,112,327,16,47,3,"summer",0
418,1983,7,26,20,500,7.8,85,"NA",10,8.43,19.2,2.5,422,0.84,1,177,213,1,42,18,180,47,7,75,16,170,0.04,1.8,"NA",4,0.18,0.01,"NA","NA",0.53,7.1,6,"NA",5,152,2.5,100,"NA","NA","NA",330,"NA","NA","NA","NA","NA","NA",50,"NA",474,"NA","NA",5.6,46,233,0.07,0.24,0.22,"NA","NA","NA","NA","NA","NA","NA",10.5,0.273646819,41.92745441,0.200148645,0.00875,6.312300085,10.22471778,0.000000487,0.0000000000596,0.00000000372,0.00744973,0.976878332,0.015671938,42.12760305,42.44379791,3536.983159,"MLO",650.6330693,11.48352107,80.38464748,112,327,16,47,3,"summer",0
