"lakeid","season","iceon","ice_on","iceoff","ice_off","ice_duration","year4"
"WI","1945-1946",1945328,"1945-11-24",194679,"1946-3-20",116,1945
"WI","1947-1948",,,194886,"1948-3-26",-999,1947
"WI","1948-1949",1948342,"1948-12-7",194986,"1949-3-27",110,1948
"WI","1949-1950",1949329,"1949-11-25",195097,"1950-4-7",133,1949
"WI","1950-1951",1950327,"1950-11-23",195199,"1951-4-9",137,1950
"WI","1952-1953",1952333,"1952-11-28",,,-999,1952
"WI","1958-1959",1958331,"1958-11-27",,,-999,1958
"WI","1959-1960",1959319,"1959-11-15",,,-999,1959
"WI","1962-1963",1962343,"1962-12-9",196388,"1963-3-29",110,1962
"WI","1968-1969",1968342,"1968-12-7",196999,"1969-4-9",123,1968
"WI","1969-1970",1969340,"1969-12-6",197093,"1970-4-3",118,1969
"WI","1970-1971",1970343,"1970-12-9",1971100,"1971-4-10",122,1970
"WI","1971-1972",1971336,"1971-12-2",1972107,"1972-4-16",136,1971
"WI","1972-1973",1972335,"1972-11-30",197373,"1973-3-14",104,1972
"WI","1973-1974",,,197489,"1974-3-30",-999,1973
"WI","1974-1975",1974343,"1974-12-9",1975109,"1975-4-19",131,1974
"WI","1975-1976",1975335,"1975-12-1",197681,"1976-3-21",108,1975
"WI","1976-1977",,,197774,"1977-3-15",-999,1976
"WI","1977-1978",1977330,"1977-11-26",197896,"1978-4-6",131,1977
"WI","1978-1979",1978330,"1978-11-26",1979107,"1979-4-17",142,1978
"WI","1979-1980",1979335,"1979-12-1",198093,"1980-4-2",123,1979
"WI","1980-1981",1980337,"1980-12-2",198173,"1981-3-14",102,1980
"WI","1981-1982",1981333,"1981-11-29",,,-999,1981
"WI","1982-1983",1982343,"1982-12-9",198365,"1983-3-6",87,1982
"WI","1983-1984",1983343,"1983-12-9",198493,"1984-4-2",115,1983
"WI","1984-1985",1984323,"1984-11-18",198579,"1985-3-20",110,1984
"WI","1985-1986",1985329,"1985-11-25",198688,"1986-3-29",124,1985
"WI","1986-1987",1986317,"1986-11-13",198767,"1987-3-8",115,1986
"WI","1987-1988",1987339,"1987-12-5",198884,"1988-3-24",102,1987
"WI","1988-1989",1988343,"1988-12-8",198988,"1989-3-29",111,1988
"WI","1989-1990",1989326,"1989-11-22",199073,"1990-3-14",112,1989
"WI","1990-1991",1990338,"1990-12-4",199182,"1991-3-23",109,1990
"WI","1991-1992",1991309,"1991-11-5",199268,"1992-3-8",124,1991
"WI","1992-1993",1992320,"1992-11-15",199399,"1993-4-9",135,1992
"WI","1993-1994",1993332,"1993-11-28",199485,"1994-3-26",103,1993
"WI","1994-1995",1994342,"1994-12-8",199576,"1995-3-17",99,1994
"WI","1995-1996",1995316,"1995-11-12",199685,"1996-3-25",134,1995
"WI","1996-1997",1996332,"1996-11-27",199785,"1997-3-26",119,1996
"WI","1997-1998",1997342,"1997-12-8",199857,"1998-2-26",80,1997
"WI","1998-1999",1998356,"1998-12-22",199970,"1999-3-11",79,1998
"WI","1999-2000",1999352,"1999-12-18",200064,"2000-3-4",77,1999
"WI","2000-2001",2000326,"2000-11-21",200195,"2001-4-5",135,2000
"WI","2001-2002",2001358,"2001-12-24",200273,"2002-3-14",80,2001
"WI","2002-2003",2002336,"2002-12-2",200383,"2003-3-24",112,2002
"WI","2003-2004",2003343,"2003-12-9",200476,"2004-3-16",98,2003
"WI","2004-2005",2004349,"2004-12-14",200593,"2005-4-3",110,2004
"WI","2005-2006",2005329,"2005-11-25",200673,"2006-3-14",104,2005
"WI","2006-2007",2006337,"2006-12-3",200784,"2007-3-25",106,2006
"WI","2007-2008",2007334,"2007-11-30",200897,"2008-4-6",128,2007
"WI","2008-2009",2008327,"2008-11-22",200977,"2009-3-18",116,2008
"WI","2009-2010",2009344,"2009-12-10",201085,"2010-3-26",106,2009
"WI","2010-2011",2010338,"2010-12-4",201191,"2011-4-1",119,2010
"WI","2011-2012",2011345,"2011-12-11",201268,"2012-3-8",86,2011
"WI","2012-2013",2012356,"2012-12-21",201399,"2013-4-9",109,2012
"WI","2013-2014",2013331,"2013-11-27",201499,"2014-4-9",133,2013
"WI","2014-2015",2014318,"2014-11-14",201580,"2015-3-21",127,2014
"WI","2015-2016",2015364,"2015-12-30",201668,"2016-3-8",69,2015
"WI","2016-2017",2016344,"2016-12-9",201758,"2017-2-27",79,2016
"WI","2017-2018",2017344,"2017-12-10",201883,"2018-3-24",104,2017
"WI","2018-2019",2018341,"2018-12-7",201987,"2019-3-28",111,2018
"WI","2019-2020",2019316,"2019-11-12",202072,"2020-3-12",119,2019
